Tenure Months,Internet_Service_Fiber optic,Dependents,Payment_Method_Electronic check,Contract_One year,Device_Protection_No internet service,Total Charges,Online_Backup_No internet service,Online_Security_No internet service,Internet_Service_No,Streaming_Movies_No internet service,Tech_Support_No internet service,Streaming_TV_No internet service,Online_Security_Yes,Paperless Billing,Streaming_Movies_Yes,Tech_Support_Yes,Multiple_Lines_Yes,Streaming_TV_Yes,Contract_Two year,Partner,prob_not_churn,prob_churn,Churn Value,y_pred
0.986111111111111,1,0,0,1,0,0.8017283069270451,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0.6059635911802368,0.3940364088197632,0,0
0.2222222222222222,1,0,0,0,0,0.18120163964627858,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.21417457636816006,0.7858254236318399,1,1
0.4444444444444444,1,0,0,1,0,0.39342874907885045,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0.3584780526388528,0.6415219473611472,0,1
0.3333333333333333,0,0,0,0,0,0.10746361459100959,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.3696975290665049,0.6303024709334951,1,1
0.2777777777777778,0,1,0,0,1,0.0467540991156964,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0.9108097576778383,0.0891902423221617,0,0
0.027777777777777776,1,0,1,0,0,0.019148397199705236,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.10782763368845305,0.892172366311547,1,1
0.7222222222222222,0,0,0,1,0,0.3927091009579956,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0.8113408206485693,0.18865917935143078,0,0
0.5138888888888888,0,0,0,1,1,0.08261560427413413,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0.8742612393496298,0.12573876065037012,0,0
0.5694444444444444,0,0,0,0,0,0.3558688743551953,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0.6551518583193696,0.3448481416806303,0,0
0.8055555555555555,0,1,0,1,0,0.49521002210759035,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0.9410643548631439,0.058935645136856125,0,0
0.125,0,1,0,0,1,0.022003960943257187,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.96546745156776,0.03453254843223995,0,0
0.05555555555555555,1,0,1,0,0,0.0365869104642594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18757471487040356,0.8124252851295964,0,1
0.5,1,0,1,0,0,0.40003224023581435,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0.1505312046333206,0.8494687953666794,0,1
0.4722222222222222,1,0,1,0,0,0.40768353905674287,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0.21849607408917027,0.7815039259108297,0,1
0.4583333333333333,1,0,1,0,0,0.3560243183493,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0.16901309180182766,0.8309869081981723,0,1
0.25,1,0,0,0,0,0.20460459653647756,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0.2044102649777192,0.7955897350222808,1,1
0.1388888888888889,0,0,0,0,0,0.060392870302137074,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.43268378506413063,0.5673162149358694,0,1
0.875,1,0,0,0,0,0.6377579218865145,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.5092717396882782,0.49072826031172173,0,0
0.027777777777777776,1,0,1,0,0,0.02245877855563744,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.10744245566925625,0.8925575443307437,1,1
0.861111111111111,0,0,0,0,1,0.12938121775976422,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0.9827362711132447,0.01726372888675531,0,0
0.9027777777777777,1,0,0,0,0,0.8183262711864407,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0.5145719249984531,0.4854280750015469,0,0
0.2222222222222222,0,1,0,0,1,0.03176814664701548,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0.8966062971273193,0.1033937028726807,0,0
0.7222222222222222,0,0,0,0,0,0.48565309506263826,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0.9034798626195518,0.09652013738044818,0,0
0.8472222222222222,0,0,0,0,1,0.1729170504789978,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0.9789383695788973,0.021061630421102602,0,0
0.18055555555555555,1,0,0,0,0,0.10325511238025056,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.17126711404780226,0.8287328859521977,1,1
0.08333333333333333,0,1,0,0,0,0.03283898305084746,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6842507549546613,0.3157492450453387,0,0
0.2777777777777778,1,0,1,0,0,0.20455853905674284,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0.12036443436566058,0.8796355656343394,1,1
0.125,0,0,1,0,0,0.04138264554163597,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.28556241887633993,0.7144375811236601,0,1
0.5416666666666666,0,0,0,0,0,0.21939480471628597,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.5074672325300704,0.49253276746992963,0,0
0.2638888888888889,0,1,0,1,1,0.03966700442151806,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0.9519397607840642,0.04806023921593584,0,0
0.013888888888888888,0,0,0,0,0,0.005734156226971261,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.22916384436522852,0.7708361556347715,0,1
0.7083333333333333,0,0,0,0,0,0.16803495762711865,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.698811616353211,0.301188383646789,0,0
0.3333333333333333,1,0,0,0,0,0.23590641120117914,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.2678741861670837,0.7321258138329163,0,1
0.3472222222222222,1,0,1,1,0,0.25071964812085484,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0.32296161626512565,0.6770383837348743,1,1
0.4305555555555555,1,0,1,1,0,0.3264899594694179,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0.2797543326712354,0.7202456673287646,0,1
0.013888888888888888,0,0,1,0,0,0.005843542741341194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.20143852775229187,0.7985614722477081,1,1
0.05555555555555555,0,0,0,0,1,0.007777956890198969,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0.5171156335372169,0.48288436646278315,0,0
0.3333333333333333,1,0,1,0,0,0.2577491709653648,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.1632013592382613,0.8367986407617387,1,1
0.6527777777777778,1,0,1,0,0,0.5220269896831246,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0.31330511827192575,0.6866948817280742,1,1
1.0,0,0,0,0,0,0.7170573876197496,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.902682014594386,0.09731798540561397,0,0
0.09722222222222221,0,1,1,0,0,0.06379536661753869,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0.626607932569968,0.373392067430032,0,0
0.013888888888888888,1,0,0,0,0,0.008549419675755343,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.14656123209883898,0.853438767901161,1,1
0.013888888888888888,1,1,0,0,0,0.00811187361827561,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.41880454514256216,0.5811954548574378,1,1
0.8472222222222222,1,0,0,1,0,0.7505469325718498,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0.5881530395861662,0.41184696041383384,0,0
0.013888888888888888,0,0,0,0,0,0.0034485537951363305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3471493309434326,0.6528506690565674,1,1
0.5,1,0,0,1,0,0.4475002302873987,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0.38477428797300095,0.615225712026999,0,1
0.625,1,0,1,1,0,0.5162985906411202,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0.5177798865117056,0.4822201134882944,0,0
0.013888888888888888,1,0,1,0,0,0.007956429624170966,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.12728217065176062,0.8727178293482394,1,1
0.4861111111111111,1,0,0,0,0,0.3265360169491526,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5140159919464131,0.48598400805358694,0,0
0.06944444444444445,1,1,1,0,0,0.04100267133382462,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.3124843168498468,0.6875156831501532,0,1
0.9583333333333333,0,0,0,0,0,0.679048452468681,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0.9406210748587499,0.059378925141250136,0,0
0.3333333333333333,0,1,0,0,1,0.05649525607958733,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0.9737290044206466,0.026270995579353463,0,0
1.0,0,1,0,0,0,0.7441910003684599,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9825286749920372,0.01747132500796282,0,0
0.041666666666666664,0,0,0,0,0,0.011341654384672072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3657787801888517,0.6342212198111483,0,1
0.8055555555555555,0,0,0,0,1,0.13958294952100223,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0.9852962936360395,0.014703706363960498,0,0
0.05555555555555555,1,0,0,0,0,0.041515060795873256,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.2752934746956337,0.7247065253043663,0,1
0.1388888888888889,0,0,0,0,0,0.072488715917465,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.3609996492069625,0.6390003507930375,0,1
0.013888888888888888,0,0,0,0,0,0.005250552689756817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34661823934152447,0.6533817606584755,0,1
0.3194444444444444,0,0,1,1,1,0.055867722918201926,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0.7211693740086245,0.2788306259913756,0,0
0.5138888888888888,1,1,1,0,0,0.33024940125276353,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.5738935632086405,0.4261064367913595,1,0
0.041666666666666664,1,0,1,0,0,0.029223470891672813,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.11103725744074977,0.8889627425592502,0,1
0.041666666666666664,0,0,1,0,0,0.015221997052321298,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.17992648650566867,0.8200735134943313,1,1
0.08333333333333333,1,0,1,0,0,0.06277634487840826,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0.06512567985144246,0.9348743201485575,1,1
0.05555555555555555,0,1,0,0,0,0.017973931466470156,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.7038797101553722,0.29612028984462774,0,0
0.9583333333333333,0,1,0,0,0,0.4343796057479735,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0.9784420182432237,0.02155798175677623,0,0
0.6527777777777778,0,0,0,0,1,0.11204633382461314,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.9705983420602109,0.029401657939789112,0,0
0.125,0,0,0,0,0,0.03409404937361828,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.29262931667190495,0.707370683328095,1,1
0.013888888888888888,0,0,1,0,0,0.002832535003684599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26618898990931206,0.7338110100906879,1,1
0.18055555555555555,0,1,0,0,1,0.028405950626381727,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0.9587508506640751,0.041249149335924905,0,0
0.40277777777777773,0,0,0,0,1,0.06598309690493737,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0.7781979212979917,0.22180207870200833,0,0
0.06944444444444445,0,1,1,0,0,0.018831752026529112,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6636132445229833,0.3363867554770167,0,0
0.9305555555555555,0,0,0,1,0,0.4743229550478998,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0.9291298505234065,0.07087014947659356,0,0
1.0,0,1,0,0,1,0.21406365143699338,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0.9968075342912127,0.003192465708787306,0,0
0.625,0,0,0,0,0,0.4068717759764186,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0.8805107365172765,0.11948926348272346,0,0
0.9722222222222222,1,0,0,0,0,0.8879018515106855,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0.8799041063222057,0.12009589367779427,0,0
0.9305555555555555,1,0,0,0,0,0.82399134119381,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.8451201360044266,0.15487986399557338,1,0
0.9583333333333333,0,1,0,0,1,0.156215456890199,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.9972704519251879,0.0027295480748121023,0,0
0.4583333333333333,1,0,1,0,0,0.3442336035372145,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0.2780225078569013,0.7219774921430987,0,1
0.8055555555555555,0,0,0,1,1,0.17247374723655126,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0.9284978572173933,0.07150214278260669,0,0
0.5277777777777778,1,1,0,0,0,0.36415922070744294,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.7867840859470767,0.2132159140529233,0,0
0.5138888888888888,1,1,1,0,0,0.38160349115696396,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0.44876714660530725,0.5512328533946927,0,1
0.4583333333333333,0,0,0,0,1,0.0951202100221076,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0.9478426539871799,0.05215734601282006,0,0
0.6527777777777778,0,0,0,1,1,0.11664632461311718,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.9503732778626051,0.04962672213739498,0,0
